adp,name,position,team,times_drafted,stdev,high,low,bye
1.7,Josh Allen,QB,BUF,1000,0.9,1,4,7
1.8,Jahmyr Gibbs,RB,DET,817,0.8,1,4,6
2.6,Bijan Robinson,RB,ATL,491,0.7,1,4,11
4.7,Puka Nacua,WR,LAR,485,1.2,1,9,11
5.5,Jonathan Taylor,RB,IND,491,1.4,3,10,13
6.6,Ja'Marr Chase,WR,CIN,1427,2.3,1,14,6
7.1,Drake Maye,QB,NE,682,2.8,1,15,11
8.3,Lamar Jackson,QB,BAL,1151,3.0,1,17,13
8.4,Jaxon Smith-Njigba,WR,SEA,672,2.0,3,23,11
9.2,Joe Burrow,QB,CIN,919,3.0,1,18,6
10.1,Christian McCaffrey,RB,SF,1063,2.8,3,20,8
10.6,Derrick Henry,RB,BAL,363,2.6,3,18,13
13.5,Amon-Ra St. Brown,WR,DET,1252,3.4,4,26,6
13.6,Dak Prescott,QB,DAL,633,2.8,6,22,14
13.9,Jayden Daniels,QB,WAS,641,3.1,5,22,7
15.8,James Cook III,RB,BUF,1488,4.7,4,30,7
17.2,Matthew Stafford,QB,LAR,383,2.7,10,27,11
17.2,Jalen Hurts,QB,PHI,518,3.2,8,26,10
19.2,Brock Purdy,QB,SF,187,3.4,10,30,8
19.6,Trevor Lawrence,QB,JAX,429,5.2,6,37,7
21.0,De'Von Achane,RB,MIA,737,4.9,8,35,6
21.9,Caleb Williams,QB,CHI,706,5.1,8,45,10
24.0,Patrick Mahomes,QB,KC,360,5.4,9,46,5
24.2,Drake London,WR,ATL,238,4.6,12,36,11
24.8,Jared Goff,QB,DET,422,4.7,12,49,6
24.9,Saquon Barkley,RB,PHI,1780,5.4,10,40,10
25.1,CeeDee Lamb,WR,DAL,1639,5.4,11,39,14
25.9,Justin Herbert,QB,LAC,817,4.7,13,53,7
28.3,Justin Jefferson,WR,MIN,1629,6.5,11,46,6
29.7,Rashee Rice,WR,KC,244,6.3,14,44,5
30.1,Ashton Jeanty,RB,LV,1392,7.9,9,62,13
30.4,Chase Brown,RB,CIN,1781,6.4,13,48,6
30.6,Bo Nix,QB,DEN,566,6.0,15,56,10
30.8,Jaxson Dart,QB,NYG,332,7.3,16,58,8
33.3,George Pickens,WR,DAL,336,5.1,19,43,14
34.7,Josh Jacobs,RB,GB,260,5.8,19,49,11
34.8,A.J. Brown,WR,NE,845,5.1,21,48,11
36.1,Nico Collins,WR,HOU,412,4.3,24,48,8
38.5,Kenneth Walker,RB,KC,1518,8.1,17,58,5
38.9,Omarion Hampton,RB,LAC,1523,6.4,22,54,7
40.1,Kyren Williams,RB,LAR,557,5.7,25,54,11
41.6,Chris Olave,WR,NO,476,6.3,25,58,8
41.7,Zay Flowers,WR,BAL,170,3.7,32,55,13
42.1,Baker Mayfield,QB,TB,879,8.3,23,72,10
46.4,Javonte Williams,RB,DAL,597,5.3,32,58,14
47.6,Malik Nabers,WR,NYG,1162,6.4,31,73,8
48.7,Breece Hall,RB,NYJ,356,5.2,35,65,13
48.8,Jeremiyah Love,RB,ARI,639,5.5,34,65,14
48.8,Tyler Shough,QB,NO,829,9.0,25,77,8
50.3,Emeka Egbuka,WR,TB,975,5.5,35,70,10
51.7,Tee Higgins,WR,CIN,413,5.0,38,67,6
51.8,Davante Adams,WR,LAR,322,5.8,36,66,11
52.4,Cam Skattebo,RB,NYG,542,5.3,38,68,8
52.5,Jameson Williams,WR,DET,131,5.7,39,69,6
52.7,Tetairoa McMillan,WR,CAR,420,5.4,38,68,5
52.9,Kyler Murray,QB,MIN,1400,9.9,27,79,6
55.7,DeVonta Smith,WR,PHI,1025,5.5,41,70,10
57.7,Travis Etienne Jr.,RB,NO,454,7.0,44,76,8
57.9,Sam Darnold,QB,SEA,950,10.7,29,80,11
58.7,D'Andre Swift,RB,CHI,623,7.2,40,82,10
59.1,Garrett Wilson,WR,NYJ,432,5.5,44,76,13
59.3,Jordan Love,QB,GB,1599,11.1,30,84,11
60.9,Brock Bowers,TE,LV,1946,14.9,22,90,13
61.5,Rome Odunze,WR,CHI,349,6.2,45,85,10
64.2,Terry McLaurin,WR,WAS,362,6.0,48,78,7
64.6,Bucky Irving,RB,TB,430,6.1,48,79,10
64.6,Trey McBride,TE,ARI,1196,12.3,32,96,14
66.3,Ladd McConkey,WR,LAC,1179,6.8,48,89,7
66.6,Bhayshul Tuten,RB,JAX,543,7.6,47,81,7
67.0,Quinshon Judkins,RB,CLE,510,6.6,49,85,11
68.8,DJ Moore,WR,BUF,953,8.0,48,88,7
70.5,Alec Pierce,WR,IND,95,7.1,56,88,13
73.1,David Montgomery,RB,HOU,780,7.5,53,96,8
73.1,Jaylen Waddle,WR,DEN,1187,7.1,54,92,10
73.2,C.J. Stroud,QB,HOU,794,9.2,49,96,8
74.0,Daniel Jones,QB,IND,789,11.9,42,96,13
74.7,Christian Watson,WR,GB,516,8.2,53,100,11
74.9,TreVeyon Henderson,RB,NE,344,6.9,56,92,11
75.8,Mike Evans,WR,SF,654,8.3,54,98,8
79.5,Courtland Sutton,WR,DEN,341,8.2,58,96,10
79.7,Luther Burden III,WR,CHI,784,8.1,58,99,10
82.2,Colston Loveland,TE,CHI,753,10.2,55,103,10
82.3,DK Metcalf,WR,PIT,400,7.2,63,102,9
82.5,Malik Willis,QB,MIA,837,10.8,54,104,6
82.9,Tony Pollard,RB,TEN,129,6.8,65,99,9
84.7,Marvin Harrison Jr.,WR,ARI,639,7.4,65,100,14
85.9,Parker Washington,WR,JAX,775,6.7,68,101,7
86.0,Jadarian Price,RB,SEA,1258,11.3,56,121,11
88.9,Rhamondre Stevenson,RB,NE,311,8.8,66,120,11
89.3,Brian Thomas Jr.,WR,JAX,539,6.4,72,105,7
89.9,Bryce Young,QB,CAR,582,7.5,70,114,5
90.0,Tyler Warren,TE,IND,926,8.8,66,114,13
91.0,Rico Dowdle,RB,PIT,238,8.5,68,116,9
92.1,Carnell Tate,WR,TEN,543,6.8,74,109,9
93.4,Jaylen Warren,RB,PIT,237,13.0,59,118,9
95.1,J.K. Dobbins,RB,DEN,563,10.0,69,121,10
95.1,Quentin Johnston,WR,LAC,428,6.7,77,112,7
97.2,Chuba Hubbard,RB,CAR,398,9.9,71,124,5
99.7,Michael Wilson,WR,ARI,580,9.8,74,138,14
99.8,Cam Ward,QB,TEN,982,11.4,70,150,9
100.8,Jordan Addison,WR,MIN,294,7.3,81,116,6
101.2,Chris Godwin Jr.,WR,TB,663,9.9,75,129,10
101.4,Tucker Kraft,TE,GB,483,12.3,69,156,11
102.4,Jakobi Meyers,WR,JAX,244,8.9,79,143,7
104.6,Jayden Reed,WR,GB,357,8.1,83,123,11
106.8,Harold Fannin Jr.,TE,CLE,103,11.7,77,150,11
107.1,Xavier Worthy,WR,KC,360,7.0,88,132,5
107.5,Seattle Defense,DEF,SEA,232,13.7,72,133,11
107.8,Jacory Croskey-Merritt,RB,WAS,665,11.9,76,150,7
107.8,Denver Defense,DEF,DEN,295,9.5,83,127,10
108.6,Michael Pittman Jr.,WR,PIT,553,8.6,86,149,9
110.1,Jacoby Brissett,QB,ARI,624,15.5,69,150,14
111.6,Kyle Pitts Sr.,TE,ATL,240,14.0,75,175,11
112.8,Dallas Goedert,TE,PHI,120,18.0,65,164,10
113.0,Kyle Monangai,RB,CHI,531,13.3,80,150,10
113.5,Aaron Rodgers,QB,PIT,734,15.2,73,150,9
115.3,Jordyn Tyson,WR,NO,338,22.9,76,180,8
115.4,Sam LaPorta,TE,DET,475,17.2,70,176,6
115.9,Stefon Diggs,WR,WAS,596,14.1,79,150,7
116.0,Deebo Samuel Sr.,WR,SF,365,13.0,82,169,8
117.3,Houston Defense,DEF,HOU,940,10.3,90,150,8
117.5,RJ Harvey,RB,DEN,529,17.2,72,151,10
117.7,Jonathon Brooks,RB,CAR,1124,18.7,69,170,5
119.8,Makai Lemon,WR,PHI,602,13.5,84,150,10
120.1,Geno Smith,QB,NYJ,405,17.7,73,173,13
120.7,Josh Downs,WR,IND,619,14.3,85,150,13
120.8,Jordan Mason,RB,MIN,769,16.2,78,169,6
122.2,Matthew Golden,WR,GB,580,13.8,86,150,11
122.6,Wan'Dale Robinson,WR,TEN,520,12.6,89,150,9
122.9,Blake Corum,RB,LAR,895,14.7,84,150,11
123.5,Chimere Dike,WR,TEN,26,32.4,87,179,9
123.6,Aaron Jones Sr.,RB,MIN,307,14.8,87,153,6
124.6,Mark Andrews,TE,BAL,166,14.9,99,176,13
125.0,Romeo Doubs,WR,NE,221,10.4,97,150,11
125.5,Ricky Pearsall,WR,SF,55,11.7,98,150,8
127.7,Brandon Aubrey,PK,DAL,1457,13.4,92,160,14
128.3,Rachaad White,RB,WAS,249,16.6,85,171,7
129.2,Minnesota Defense,DEF,MIN,121,7.7,109,147,6
129.4,George Kittle,TE,SF,342,17.4,84,180,8
129.7,Rashid Shaheed,WR,SEA,295,14.8,91,150,11
129.8,LA Rams Defense,DEF,LAR,816,11.6,99,172,11
129.9,San Francisco Defense,DEF,SF,7,57.1,1,180,8
130.9,Kenny Gainwell,RB,TB,400,17.4,85,169,10
131.9,Fernando Mendoza,QB,LV,503,23.4,72,180,13
133.2,Jason Myers,PK,SEA,233,8.5,111,161,11
133.6,Kaelon Black,RB,SF,5,23.9,97,162,8
134.0,Pat Freiermuth,TE,PIT,6,3.5,132,141,9
134.8,Oronde Gadsden,TE,LAC,12,12.8,101,147,7
135.0,De'Zhaun Stribling,WR,SF,478,17.4,89,179,8
135.1,Khalil Shakir,WR,BUF,318,9.3,110,150,7
135.9,Ka'imi Fairbairn,PK,HOU,280,7.3,118,161,8
136.0,AJ Barner,TE,SEA,10,15.2,114,169,11
136.1,Jayden Higgins,WR,HOU,179,12.1,104,166,8
136.2,KC Concepcion,WR,CLE,385,11.7,105,171,11
136.4,Kenyon Sadiq,TE,NYJ,9,32.7,67,180,13
136.7,Tua Tagovailoa,QB,ATL,167,20.7,91,180,11
137.8,Jalen Coker,WR,CAR,140,10.3,111,154,5
138.5,New England Defense,DEF,NE,245,8.7,121,168,11
138.6,Detroit Defense,DEF,DET,62,8.7,118,167,6
138.7,Deshaun Watson,QB,CLE,50,26.7,69,180,11
138.8,Calvin Ridley,WR,TEN,106,12.1,107,173,9
138.9,Travis Kelce,TE,KC,279,16.4,96,177,5
139.0,Philadelphia Defense,DEF,PHI,279,14.2,102,180,10
139.2,Brenton Strange,TE,JAX,6,20.6,119,176,7
139.3,Cameron Dicker,PK,LAC,288,9.5,114,166,7
139.5,Shedeur Sanders,QB,CLE,33,29.2,63,180,11
139.5,Tre Tucker,WR,LV,104,11.6,109,167,13
