equipo,ejecutado,calc_espn,calc_propio,optimo,dejado
EZWAR,291.2,155.95,156.8,295.6,4.4
Ferchos,201.24,161.9,168.22,210.94,9.7
el.ai.on,196.4,165.26,179.05,203.5,7.1
Victorious Secret,192.67,173.88,168.96,202.88,10.21
KeepMyTeamNameOuttaYoFMouth,186.15,156.34,164.56,187.55,1.4
Raw Dawg,181.7,157.01,158.92,200.8,19.1
Good Bye Tua,173.86,161.51,157.33,189.36,15.5
Bolivia,166.9,159.35,165.16,167.9,1.0
Ayayay,166.72,160.15,164.05,188.92,22.2
ComNich,157.75,173.47,165.95,157.75,0.0
Guru Vibes Only,145.29,157.44,154.72,181.17,35.88
SGB,131.51,175.36,169.59,131.51,0.0
The Replacements,129.97,162.63,138.84,135.27,5.3
Back 2 Back,126.39,164.39,169.38,126.39,0.0
Injury Report,117.94,170.99,166.88,152.64,34.7
Panamanian P!mps,101.72,160.68,167.77,125.55,23.83
