nombre,pos,espn_id,proj,inj,p10,p90,rank_pos,vbd
Jahmyr Gibbs,RB,4429795,329.8,ACTIVE,129.1,554.8,1,206.3
Bijan Robinson,RB,4430807,313.9,ACTIVE,103.0,521.6,2,190.4
Christian McCaffrey,RB,3117251,300.7,QUESTIONABLE,115.1,498.2,3,177.2
Jonathan Taylor,RB,4242335,289.9,ACTIVE,99.3,482.7,4,166.4
Puka Nacua,WR,4426515,291.4,QUESTIONABLE,168.2,424.3,1,145.1
Derrick Henry,RB,3043078,266.7,ACTIVE,116.0,448.6,5,143.2
James Cook III,RB,4379399,261.6,ACTIVE,93.2,435.1,6,138.1
De'Von Achane,RB,4429160,260.9,ACTIVE,95.6,436.3,7,137.4
Ja'Marr Chase,WR,4362628,276.2,QUESTIONABLE,158.7,401.4,2,129.9
Saquon Barkley,RB,3929630,251.2,ACTIVE,104.5,408.8,8,127.7
Breece Hall,RB,4427366,248.0,QUESTIONABLE,87.3,412.7,9,124.5
Kenneth Walker III,RB,4567048,247.4,QUESTIONABLE,64.8,519.0,10,123.9
Ashton Jeanty,RB,4890973,246.2,QUESTIONABLE,98.8,409.3,11,122.7
Jaxon Smith-Njigba,WR,4430878,266.9,ACTIVE,149.9,389.6,3,120.6
Jeremiyah Love,RB,4870808,242.6,QUESTIONABLE,243.4,243.4,12,119.1
Amon-Ra St. Brown,WR,4374302,264.3,ACTIVE,155.1,384.7,4,118.0
Javonte Williams,RB,4361579,239.9,ACTIVE,91.4,401.4,13,116.4
Chase Brown,RB,4362238,238.4,ACTIVE,88.4,390.8,14,114.9
Omarion Hampton,RB,4685382,235.1,ACTIVE,108.9,370.9,15,111.6
Travis Etienne Jr.,RB,4239996,223.1,ACTIVE,81.6,371.1,16,99.6
CeeDee Lamb,WR,4241389,241.0,ACTIVE,140.1,353.5,5,94.7
Justin Jefferson,WR,4262921,238.5,ACTIVE,83.3,390.4,6,92.2
Kyren Williams,RB,4430737,214.9,ACTIVE,81.7,357.3,17,91.4
