pick,ronda,team_id,equipo,espn_id,jugador,pos
1,1,13,Ferchos,3918298,Josh Allen,QB
2,1,7,Good Boy Tua,4432577,C.J. Stroud,QB
3,1,1,ComNich,3915511,Joe Burrow,QB
4,1,17,Guru Vibes Only,4040715,Jalen Hurts,QB
5,1,10,No Team for Old Men,4431452,Drake Maye,QB
6,1,2,Ayayay,3916387,Lamar Jackson,QB
7,1,15,Victorious Secret,3052587,Baker Mayfield,QB
8,1,4,Bolivia,4426348,Jayden Daniels,QB
9,1,16,el.ai.on,4361741,Brock Purdy,QB
10,1,3,Raw Dawg,4689114,Jaxson Dart,QB
11,1,11,Injury Report ,2577417,Dak Prescott,QB
12,1,8,Back 2 Back,12483,Matthew Stafford,QB
13,1,14,EZWAR,4431611,Caleb Williams,QB
14,1,12,KeepMyTeamNameOuttaYoFMouth,4360310,Trevor Lawrence,QB
15,1,9,Panamanian P!mps,3912547,Sam Darnold,QB
16,1,18,Team 18,4038941,Justin Herbert,QB
17,2,18,Team 18,4239996,Travis Etienne Jr.,RB
18,2,9,Panamanian P!mps,4242335,Jonathan Taylor,RB
19,2,12,KeepMyTeamNameOuttaYoFMouth,4870808,Jeremiyah Love,RB
20,2,14,EZWAR,4379399,James Cook III,RB
21,2,8,Back 2 Back,3043078,Derrick Henry,RB
22,2,11,Injury Report ,4429160,De'Von Achane,RB
23,2,3,Raw Dawg,4696981,Cam Skattebo,RB
24,2,16,el.ai.on,4890973,Ashton Jeanty,RB
25,2,4,Bolivia,4685702,Quinshon Judkins,RB
26,2,15,Victorious Secret,4430807,Bijan Robinson,RB
27,2,2,Ayayay,4567048,Kenneth Walker III,RB
28,2,10,No Team for Old Men,4427366,Breece Hall,RB
29,2,17,Guru Vibes Only,3916148,Tony Pollard,RB
30,2,1,ComNich,4685512,Jadarian Price,RB
31,2,7,Good Boy Tua,4429795,Jahmyr Gibbs,RB
32,2,13,Ferchos,4430737,Kyren Williams,RB
33,3,13,Ferchos,4362238,Chase Brown,RB
34,3,7,Good Boy Tua,4569173,Rhamondre Stevenson,RB
35,3,1,ComNich,4685382,Omarion Hampton,RB
36,3,17,Guru Vibes Only,4241478,DeVonta Smith,WR
37,3,10,No Team for Old Men,4429023,MarShawn Lloyd,RB
38,3,2,Ayayay,4882093,Bhayshul Tuten,RB
39,3,15,Victorious Secret,3929630,Saquon Barkley,RB
40,3,4,Bolivia,4047650,DK Metcalf,WR
41,3,16,el.ai.on,4035687,Michael Pittman Jr.,WR
42,3,3,Raw Dawg,4432708,Marvin Harrison Jr.,WR
43,3,11,Injury Report ,4038815,Rico Dowdle,RB
44,3,8,Back 2 Back,4361579,Javonte Williams,RB
45,3,14,EZWAR,4259545,D'Andre Swift,RB
46,3,12,KeepMyTeamNameOuttaYoFMouth,4695883,Jalen Coker,WR
47,3,9,Panamanian P!mps,3117251,Christian McCaffrey,RB
48,3,18,Team 18,4596448,Bucky Irving,RB
49,4,18,Team 18,4362628,Ja'Marr Chase,WR
50,4,9,Panamanian P!mps,16800,Davante Adams,WR
51,4,12,KeepMyTeamNameOuttaYoFMouth,4374302,Amon-Ra St. Brown,WR
52,4,14,EZWAR,4361370,Chris Olave,WR
53,4,8,Back 2 Back,4685278,Luther Burden III,WR
54,4,11,Injury Report ,4428331,Rashee Rice,WR
55,4,3,Raw Dawg,4430878,Jaxon Smith-Njigba,WR
56,4,16,el.ai.on,4426515,Puka Nacua,WR
57,4,4,Bolivia,4262921,Justin Jefferson,WR
58,4,15,Victorious Secret,4429615,Zay Flowers,WR
59,4,2,Ayayay,4372016,Jaylen Waddle,WR
60,4,10,No Team for Old Men,4241389,CeeDee Lamb,WR
61,4,17,Guru Vibes Only,4047646,A.J. Brown,WR
62,4,1,ComNich,4612826,Ladd McConkey,WR
63,4,7,Good Boy Tua,4258173,Nico Collins,WR
64,4,13,Ferchos,4569618,Garrett Wilson,WR
65,5,13,Ferchos,4871023,Carnell Tate,WR
66,5,7,Good Boy Tua,3121422,Terry McLaurin,WR
67,5,1,ComNich,4239993,Tee Higgins,WR
68,5,17,Guru Vibes Only,3915416,DJ Moore,WR
69,5,10,No Team for Old Men,4567750,Emeka Egbuka,WR
70,5,2,Ayayay,16737,Mike Evans,WR
71,5,15,Victorious Secret,4685472,Tetairoa McMillan,WR
72,5,4,Bolivia,4595348,Malik Nabers,WR
73,5,16,el.ai.on,4701936,Matthew Golden,WR
74,5,3,Raw Dawg,4426502,Drake London,WR
75,5,11,Injury Report ,4426354,George Pickens,WR
76,5,8,Back 2 Back,4432773,Brian Thomas Jr.,WR
77,5,14,EZWAR,4248528,Christian Watson,WR
78,5,12,KeepMyTeamNameOuttaYoFMouth,4431299,Rome Odunze,WR
79,5,9,Panamanian P!mps,3128429,Courtland Sutton,WR
80,5,18,Team 18,4426388,Jameson Williams,WR
81,6,18,Team 18,3116365,Mark Andrews,TE
82,6,9,Panamanian P!mps,3040151,George Kittle,TE
83,6,12,KeepMyTeamNameOuttaYoFMouth,4572680,Tucker Kraft,TE
84,6,14,EZWAR,4385690,Dalton Kincaid,TE
85,6,8,Back 2 Back,4360248,Kyle Pitts Sr.,TE
