season,puesto,team_id,equipo,manager,w,l,pf
2010,1,2,The Returners,Mauricio,11,3,1874.72
2010,2,5,Coitus Interrupted,Luis Carlos,9,5,1981.88
2010,3,3,Mean Machine,Sergio,8,6,1964.58
2010,4,4,El Real McCoy,,,,
2010,5,1,Big Ben her over,,,,
2010,6,6,LEONS,,,,
2010,7,7,YoureMine,,,,
2010,8,8,CALZETO,,,,
2011,1,10,Cheater's Team,Spooky,10,4,2011.86
2011,2,6,LEONS,Brian,9,5,1915.54
2011,3,4,Frank has TANKed,Nicholas,8,6,1823.44
2011,4,1,Big Ben her over,,,,
2011,5,5,The Fantasy GURU,,,,
2011,6,2,Touchdown There,,,,
2011,7,3,Mean Machine,,,,
2011,8,8,HongKongHustle,,,,
2011,9,7,YoureMine,,,,
2011,10,9,The Teabaggers,,,,
2012,1,7,Albino Greens,Julian,10,4,1853.44
2012,2,1,Big Ben her over,Daniel,9,5,1820.02
2012,3,4,Manning Up,Nicholas,10,4,2002.08
2012,4,5,COITUS INTERRUPTED THE IV,,,,
2012,5,2,0 and 4 and 6 to go,,,,
2012,6,3,Mean Machine,,,,
2012,7,10,Your fucking fired,,,,
2012,8,6,LEONS,,,,
2012,9,9,The Teabaggers,,,,
2012,10,8,HongKongHustle,,,,
2013,1,6,WORLD CHAMPION LEONS,Brian,9,5,1948.14
2013,2,5,COITUS Interrupted Da V,Luis Carlos,12,2,2006.7
2013,3,4,Manning Up,Nicholas,12,2,2140.2
2013,4,9,The Teabaggers,,,,
2013,5,10,Muchos Negros y un Blanco,,,,
2013,6,7,Albino Greens,,,,
2013,7,2,CFC,,,,
2013,8,1,Big Ben her over,,,,
2013,9,8,Little Gomez's Underachievers,,,,
2013,10,3,General Hospital,,,,
2014,1,1,Click-Clackin Rivers of Cum,Daniel,9,4,1649.86
2014,2,12,THE DICK-TATOR,Fernando,7,6,1523.98
2014,3,4,BEASTMODE,Nicholas,9,4,1852.76
2014,4,7,A Black Sheriff,,,,
2014,5,2,CFC,,,,
2014,6,11,suck for luck,,,,
2014,7,9,The Teabaggers,,,,
2014,8,10,white fat runningbacks,,,,
2014,9,6,LA YEON,,,,
2014,10,5,Coitus Interrupted,,,,
2014,11,8,The Pirrians,,,,
2014,12,3,Dominant Twins,,,,
2015,1,4,Discount Double Doughnut,Nicholas,10,3,1725.66
2015,2,10,Monday Nightmares,Andres,8,5,1693.36
2015,3,11,Your Nightmare,Renzo,11,2,1856.98
2015,4,12,MONDAY WET DREAMS,,,,
2015,5,2,CFC,,,,
2015,6,3,The Squirt Producers,,,,
2015,7,6,ADRIAN Y LA YEON,,,,
2015,8,9,The Teabaggers,,,,
2015,9,1,Click-Clacking deflated nigs,,,,
2015,10,8,FOREST HILL,,,,
2015,11,5,Burping it out,,,,
2015,12,7,JnJ 4 UR VJJ,,,,
2016,1,4,Rookies and Old Timers,Nicholas,11,2,1815.62
2016,2,12,Montgomery Warts,Fernando,10,3,1756.14
2016,3,9,The Unlucky MoFos,Gustavo,6,7,1626.26
2016,4,10,Monday Nightmares,,,,
2016,5,5,Koitus Interrupted,,,,
2016,6,11,N W A,,,,
2016,7,8,FOREST HILL,,,,
2016,8,6,LA YEON,,,,
