semana,equipo,puntos
1,Ayayay,166.72
1,Back 2 Back,126.39
1,Bolivia,166.9
1,ComNich,157.75
1,EZWAR,291.2
1,Ferchos,201.24
1,Good Bye Tua,173.86
1,Guru Vibes Only,145.29
1,Injury Report,117.94
1,KeepMyTeamNameOuttaYoFMouth,186.15
1,Panamanian P!mps,101.72
1,Raw Dawg,181.7
1,SGB,131.51
1,The Replacements,129.97
1,Victorious Secret,192.67
1,el.ai.on,196.4
2,Ayayay,176.03
2,Back 2 Back,162.1
2,Bolivia,122.69
2,ComNich,189.01
2,EZWAR,197.4
2,Ferchos,190.22
2,Good Bye Tua,111.67
2,Guru Vibes Only,126.28
2,Injury Report,138.39
2,KeepMyTeamNameOuttaYoFMouth,144.39
2,Panamanian P!mps,215.17
2,Raw Dawg,150.55
2,SGB,146.06
2,The Replacements,154.94
2,Victorious Secret,99.88
2,el.ai.on,172.71
