nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
Josh Allen,QB,1,30,27.07,14.9,403.0,195.5,3918298,237.5,344.9,419.8,497.9,558.4
Puka Nacua,WR,1,25,22.73,14.6,331.1,164.5,4426515,191.1,257.3,346.6,411.4,482.1
Drake Maye,QB,2,24,24.21,14.9,360.4,152.9,4431452,219.2,308.9,378.0,438.4,504.4
Jahmyr Gibbs,RB,1,24,23.46,13.5,315.6,147.7,4429795,123.5,233.5,331.8,425.4,530.9
Ja'Marr Chase,WR,2,26,21.44,14.6,312.4,145.7,4362628,179.5,244.9,319.4,382.9,454.0
Jalen Hurts,QB,6,28,23.66,14.9,352.2,144.7,4040715,208.0,302.3,369.4,428.6,491.1
Matthew Stafford,QB,7,38,23.42,14.9,348.8,141.1,12483,199.0,296.6,362.9,430.8,487.9
Bijan Robinson,RB,2,24,22.84,13.5,307.2,139.3,4430807,100.8,217.3,313.6,405.4,510.5
Jaxon Smith-Njigba,WR,3,24,20.9,14.6,304.5,137.8,4430878,171.0,242.9,312.4,374.9,444.5
Joe Burrow,QB,4,30,23.97,13.7,327.8,137.3,3915511,103.7,268.9,346.0,415.2,481.2
Amon-Ra St. Brown,WR,4,27,20.59,14.6,300.0,133.3,4374302,176.0,240.9,309.3,369.9,436.7
Christian McCaffrey,RB,3,30,22.01,13.5,296.1,128.1,3117251,113.3,215.2,309.7,397.9,490.6
Dak Prescott,QB,9,33,22.42,14.9,333.9,126.2,2577417,182.1,277.2,347.0,405.7,462.7
Patrick Mahomes,QB,12,31,22.08,14.9,328.8,121.1,3139477,186.8,280.2,343.9,404.9,455.7
Brock Purdy,QB,10,27,22.42,13.7,306.6,116.0,4361741,102.1,253.0,328.4,395.3,446.2
Trevor Lawrence,QB,13,27,21.6,14.9,321.5,114.0,4360310,189.9,275.6,335.5,388.6,444.7
Justin Herbert,QB,14,28,21.45,14.9,319.3,111.8,4038941,191.5,271.8,334.3,391.8,445.6
Jonathan Taylor,RB,4,27,20.75,13.5,279.2,111.1,4242335,95.6,193.6,282.6,378.2,464.9
Jared Goff,QB,15,32,21.39,14.9,318.5,110.9,3046779,194.7,272.9,332.5,387.4,445.6
Caleb Williams,QB,16,25,21.32,14.9,317.4,109.8,4431611,183.5,269.8,330.0,386.2,439.0
Bo Nix,QB,8,26,22.51,12.6,284.6,107.9,4426338,89.6,176.7,294.1,389.2,479.2
CeeDee Lamb,WR,5,27,18.73,14.6,272.9,106.1,4241389,158.7,218.4,287.2,342.0,400.3
Jaxson Dart,QB,11,23,22.13,12.6,279.9,103.1,4689114,91.1,178.2,297.3,384.5,464.0
Justin Jefferson,WR,6,27,18.73,13.8,258.8,100.3,4262921,90.4,170.8,256.9,342.9,423.6
Jayden Daniels,QB,5,26,23.69,9.1,214.9,88.6,4426348,47.4,75.5,176.2,355.4,402.7
De'Von Achane,RB,5,25,18.99,13.5,255.5,87.3,4429160,93.6,183.5,271.1,349.7,427.3
Lamar Jackson,QB,3,29,24.1,8.6,206.2,87.3,3916387,29.2,70.8,166.0,330.9,439.5
Baker Mayfield,QB,17,31,20.35,12.6,257.4,80.6,3052587,68.8,155.4,266.1,351.0,429.3
Trey McBride,TE,1,27,15.21,14.1,214.6,78.1,4361307,105.3,156.8,216.2,268.1,323.5
