team_id,equipo,espn_id,jugador,pos,slot_final,orden_espn
13,Ferchos,3918298,Josh Allen,QB,QB,1
7,Good Boy Tua,4432577,C.J. Stroud,QB,QB,2
1,ComNich,3915511,Joe Burrow,QB,QB,3
17,Guru Vibes Only,4040715,Jalen Hurts,QB,QB,4
10,No Team for Old Men,4431452,Drake Maye,QB,QB,5
2,Ayayay,3916387,Lamar Jackson,QB,QB,6
15,Victorious Secret,3052587,Baker Mayfield,QB,QB,7
4,Bolivia,4426348,Jayden Daniels,QB,QB,8
16,el.ai.on,4361741,Brock Purdy,QB,QB,9
3,Raw Dawg,4689114,Jaxson Dart,QB,QB,10
11,Injury Report ,2577417,Dak Prescott,QB,QB,11
8,Back 2 Back,12483,Matthew Stafford,QB,QB,12
14,EZWAR,4431611,Caleb Williams,QB,QB,13
12,KeepMyTeamNameOuttaYoFMouth,4360310,Trevor Lawrence,QB,QB,14
9,Panamanian P!mps,3912547,Sam Darnold,QB,QB,15
18,Team 18,4038941,Justin Herbert,QB,QB,16
18,Team 18,4239996,Travis Etienne Jr.,RB,RB,17
9,Panamanian P!mps,4242335,Jonathan Taylor,RB,RB,18
12,KeepMyTeamNameOuttaYoFMouth,4870808,Jeremiyah Love,RB,RB,19
14,EZWAR,4379399,James Cook III,RB,RB,20
8,Back 2 Back,3043078,Derrick Henry,RB,RB,21
11,Injury Report ,4429160,De'Von Achane,RB,RB,22
3,Raw Dawg,4696981,Cam Skattebo,RB,RB,23
16,el.ai.on,4890973,Ashton Jeanty,RB,RB,24
4,Bolivia,4685702,Quinshon Judkins,RB,RB,25
15,Victorious Secret,4430807,Bijan Robinson,RB,RB,26
2,Ayayay,4567048,Kenneth Walker III,RB,RB,27
10,No Team for Old Men,4427366,Breece Hall,RB,RB,28
17,Guru Vibes Only,3916148,Tony Pollard,RB,RB,29
1,ComNich,4685512,Jadarian Price,RB,RB,30
7,Good Boy Tua,4429795,Jahmyr Gibbs,RB,RB,31
13,Ferchos,4430737,Kyren Williams,RB,RB,32
13,Ferchos,4362238,Chase Brown,RB,RB/WR,33
7,Good Boy Tua,4569173,Rhamondre Stevenson,RB,RB/WR,34
1,ComNich,4685382,Omarion Hampton,RB,RB/WR,35
17,Guru Vibes Only,4241478,DeVonta Smith,WR,RB/WR,36
10,No Team for Old Men,4429023,MarShawn Lloyd,RB,RB/WR,37
2,Ayayay,4882093,Bhayshul Tuten,RB,RB/WR,38
15,Victorious Secret,3929630,Saquon Barkley,RB,RB/WR,39
4,Bolivia,4047650,DK Metcalf,WR,RB/WR,40
16,el.ai.on,4035687,Michael Pittman Jr.,WR,RB/WR,41
3,Raw Dawg,4432708,Marvin Harrison Jr.,WR,RB/WR,42
11,Injury Report ,4038815,Rico Dowdle,RB,RB/WR,43
8,Back 2 Back,4361579,Javonte Williams,RB,RB/WR,44
14,EZWAR,4259545,D'Andre Swift,RB,RB/WR,45
12,KeepMyTeamNameOuttaYoFMouth,4695883,Jalen Coker,WR,RB/WR,46
9,Panamanian P!mps,3117251,Christian McCaffrey,RB,RB/WR,47
18,Team 18,4596448,Bucky Irving,RB,RB/WR,48
18,Team 18,4362628,Ja'Marr Chase,WR,WR,49
9,Panamanian P!mps,16800,Davante Adams,WR,WR,50
12,KeepMyTeamNameOuttaYoFMouth,4374302,Amon-Ra St. Brown,WR,WR,51
14,EZWAR,4361370,Chris Olave,WR,WR,52
8,Back 2 Back,4685278,Luther Burden III,WR,WR,53
11,Injury Report ,4428331,Rashee Rice,WR,WR,54
3,Raw Dawg,4430878,Jaxon Smith-Njigba,WR,WR,55
16,el.ai.on,4426515,Puka Nacua,WR,WR,56
4,Bolivia,4262921,Justin Jefferson,WR,WR,57
15,Victorious Secret,4429615,Zay Flowers,WR,WR,58
2,Ayayay,4372016,Jaylen Waddle,WR,WR,59
10,No Team for Old Men,4241389,CeeDee Lamb,WR,WR,60
17,Guru Vibes Only,4047646,A.J. Brown,WR,WR,61
1,ComNich,4612826,Ladd McConkey,WR,WR,62
7,Good Boy Tua,4258173,Nico Collins,WR,WR,63
13,Ferchos,4569618,Garrett Wilson,WR,WR,64
13,Ferchos,4871023,Carnell Tate,WR,WR,65
7,Good Boy Tua,3121422,Terry McLaurin,WR,WR,66
1,ComNich,4239993,Tee Higgins,WR,WR,67
17,Guru Vibes Only,3915416,DJ Moore,WR,WR,68
10,No Team for Old Men,4567750,Emeka Egbuka,WR,WR,69
2,Ayayay,16737,Mike Evans,WR,WR,70
15,Victorious Secret,4685472,Tetairoa McMillan,WR,WR,71
4,Bolivia,4595348,Malik Nabers,WR,WR,72
16,el.ai.on,4701936,Matthew Golden,WR,WR,73
3,Raw Dawg,4426502,Drake London,WR,WR,74
11,Injury Report ,4426354,George Pickens,WR,WR,75
8,Back 2 Back,4432773,Brian Thomas Jr.,WR,WR,76
14,EZWAR,4248528,Christian Watson,WR,WR,77
12,KeepMyTeamNameOuttaYoFMouth,4431299,Rome Odunze,WR,WR,78
9,Panamanian P!mps,3128429,Courtland Sutton,WR,WR,79
18,Team 18,4426388,Jameson Williams,WR,WR,80
18,Team 18,3116365,Mark Andrews,TE,TE,81
9,Panamanian P!mps,3040151,George Kittle,TE,TE,82
12,KeepMyTeamNameOuttaYoFMouth,4572680,Tucker Kraft,TE,TE,83
14,EZWAR,4385690,Dalton Kincaid,TE,TE,84
8,Back 2 Back,4360248,Kyle Pitts Sr.,TE,TE,85
11,Injury Report ,5083076,Harold Fannin Jr.,TE,TE,86
3,Raw Dawg,4361307,Trey McBride,TE,TE,87
16,el.ai.on,4431459,Tyler Warren,TE,TE,88
4,Bolivia,3929645,Juwan Johnson,TE,TE,89
15,Victorious Secret,3121023,Dallas Goedert,TE,TE,90
2,Ayayay,4723086,Colston Loveland,TE,TE,91
10,No Team for Old Men,4432665,Brock Bowers,TE,TE,92
17,Guru Vibes Only,4361050,Isaiah Likely,TE,TE,93
1,ComNich,4430027,Sam LaPorta,TE,TE,94
7,Good Boy Tua,4242355,Jake Ferguson,TE,TE,95
13,Ferchos,15847,Travis Kelce,TE,TE,96
13,Ferchos,4036378,Jordan Love,QB,OP,97
7,Good Boy Tua,4035538,David Montgomery,RB,OP,98
1,ComNich,3046779,Jared Goff,QB,OP,99
17,Guru Vibes Only,3917315,Kyler Murray,QB,OP,100
10,No Team for Old Men,14880,Kirk Cousins,QB,OP,101
2,Ayayay,3139477,Patrick Mahomes,QB,OP,102
15,Victorious Secret,2578570,Jacoby Brissett,QB,OP,103
4,Bolivia,3917792,Daniel Jones,QB,OP,104
16,el.ai.on,4360689,Tyler Shough,QB,OP,105
3,Raw Dawg,4241985,J.K. Dobbins,RB,OP,106
11,Injury Report ,8439,Aaron Rodgers,QB,OP,107
8,Back 2 Back,4426338,Bo Nix,QB,OP,108
14,EZWAR,4685720,Bryce Young,QB,OP,109
12,KeepMyTeamNameOuttaYoFMouth,4242512,Malik Willis,QB,OP,110
9,Panamanian P!mps,4688380,Cam Ward,QB,OP,111
18,Team 18,15864,Geno Smith,QB,OP,112
18,Team 18,4035369,Jeffery Simmons,DT,DT,113
9,Panamanian P!mps,2971282,DeForest Buckner,DT,DT,114
12,KeepMyTeamNameOuttaYoFMouth,4035495,Derrick Brown,DT,DT,115
14,EZWAR,4239699,Milton Williams,DT,DT,116
8,Back 2 Back,4361366,Tommy Togiai,DT,DT,117
11,Injury Report ,4039303,Ed Oliver,DT,DT,118
3,Raw Dawg,4426694,Keeanu Benton,DT,DT,119
16,el.ai.on,4360277,Jalen Redmond,DT,DT,120
4,Bolivia,4381558,Jordan Davis,DT,DT,121
15,Victorious Secret,4570040,Byron Murphy II,DT,DT,122
2,Ayayay,4040982,Quinnen Williams,DT,DT,123
10,No Team for Old Men,3044859,Chris Jones,DT,DT,124
17,Guru Vibes Only,4685759,Jalen Carter,DT,DT,125
1,ComNich,2971622,Leonard Williams,DT,DT,126
7,Good Boy Tua,4039064,Malcolm Roach,DT,DT,127
13,Ferchos,13977,Cameron Heyward,DT,DT,128
13,Ferchos,4426473,Laiatu Latu,DE,DE,129
7,Good Boy Tua,4875196,Byron Young,DE,DE,130
1,ComNich,3045282,T.J. Watt,DE,DE,131
17,Guru Vibes Only,4372099,Aidan Hutchinson,DE,DE,132
10,No Team for Old Men,4037333,Alex Highsmith,DE,DE,133
2,Ayayay,2976560,Danielle Hunter,DE,DE,134
15,Victorious Secret,3052743,Trey Hendrickson,DE,DE,135
4,Bolivia,4565190,Dallas Turner,DE,DE,136
16,el.ai.on,4040605,Nick Bosa,DE,DE,137
3,Raw Dawg,4431442,Tuli Tuipulotu,DE,DE,138
11,Injury Report ,4685724,Will Anderson Jr.,DE,DE,139
8,Back 2 Back,3122132,Myles Garrett,DE,DE,140
14,EZWAR,3133487,Andrew Van Ginkel,DE,DE,141
12,KeepMyTeamNameOuttaYoFMouth,3916655,Maxx Crosby,DE,DE,142
9,Panamanian P!mps,4241986,Chase Young,DE,DE,143
18,Team 18,4035631,Brian Burns,DE,DE,144
18,Team 18,3138826,Fred Warner,LB,LB,145
9,Panamanian P!mps,4429834,Cedric Gray,LB,LB,146
