nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Josh Allen,QB,1,460.1,237.2,222.9,3918298,2
Puka Nacua,WR,1,386.4,194.8,191.6,4426515,14
Jahmyr Gibbs,RB,1,398.9,210.5,188.4,4429795,8
Bijan Robinson,RB,2,388.3,210.5,177.8,4430807,1
Drake Maye,QB,2,411.6,237.2,174.4,4431452,17
Lamar Jackson,QB,3,409.7,237.2,172.5,3916387,33
Joe Burrow,QB,4,407.5,237.2,170.3,3915511,4
Ja'Marr Chase,WR,2,364.6,194.8,169.8,4362628,4
Jayden Daniels,QB,5,402.8,237.2,165.6,4426348,28
Jalen Hurts,QB,6,402.1,237.2,164.9,4040715,21
Christian McCaffrey,RB,3,374.2,210.5,163.7,3117251,25
Matthew Stafford,QB,7,398.2,237.2,161.0,12483,14
Jaxon Smith-Njigba,WR,3,355.3,194.8,160.5,4430878,26
Amon-Ra St. Brown,WR,4,350.0,194.8,155.2,4374302,8
Bo Nix,QB,8,382.6,237.2,145.4,4426338,7
Dak Prescott,QB,9,381.2,237.2,144.0,2577417,6
Brock Purdy,QB,10,381.1,237.2,143.9,4361741,25
Jonathan Taylor,RB,4,352.8,210.5,142.3,4242335,11
Jaxson Dart,QB,11,376.2,237.2,139.0,4689114,19
Patrick Mahomes,QB,12,375.4,237.2,138.2,3139477,12
Trevor Lawrence,QB,13,367.1,237.2,129.9,4360310,30
Justin Herbert,QB,14,364.6,237.2,127.4,4038941,24
Jared Goff,QB,15,363.6,237.2,126.4,3046779,8
Caleb Williams,QB,16,362.4,237.2,125.2,4431611,3
Justin Jefferson,WR,5,318.5,194.8,123.7,4262921,16
CeeDee Lamb,WR,6,318.4,194.8,123.6,4241389,6
De'Von Achane,RB,5,322.9,210.5,112.4,4429160,15
Baker Mayfield,QB,17,346.0,237.2,108.8,3052587,27
Jordan Love,QB,18,341.6,237.2,104.4,4036378,9
Tyler Shough,QB,19,338.3,237.2,101.1,4360689,18
Daniel Jones,QB,20,336.9,237.2,99.7,3917792,11
James Cook III,RB,6,309.8,210.5,99.3,4379399,2
Ashton Jeanty,RB,7,308.4,210.5,97.9,4890973,13
Derrick Henry,RB,8,306.8,210.5,96.3,3043078,33
Drake London,WR,7,290.4,194.8,95.6,4426502,1
