nombre,pos,rank_pos,edad,proj_mercado,g_proj,pg,eg,total_v2,vbd2,espn_id
Josh Allen,QB,1,30,460.1,17.0,27.07,14.9,403.0,195.5,3918298
Jahmyr Gibbs,RB,1,24,398.9,17.0,23.46,13.5,315.6,165.0,4429795
Bijan Robinson,RB,2,24,388.3,17.0,22.84,13.5,307.2,156.6,4430807
Drake Maye,QB,2,24,411.6,17.0,24.21,14.9,360.4,152.9,4431452
Christian McCaffrey,RB,3,30,374.2,17.0,22.01,13.5,296.1,145.4,3117251
Jalen Hurts,QB,6,28,402.1,17.0,23.66,14.9,352.2,144.7,4040715
Puka Nacua,WR,1,25,386.4,17.0,22.73,14.6,331.1,143.5,4426515
Matthew Stafford,QB,7,38,398.2,17.0,23.42,14.9,348.8,141.1,12483
Joe Burrow,QB,4,30,407.5,17.0,23.97,13.7,327.8,137.3,3915511
Jonathan Taylor,RB,4,27,352.8,17.0,20.75,13.5,279.2,128.4,4242335
Dak Prescott,QB,9,33,381.2,17.0,22.42,14.9,333.9,126.2,2577417
Ja'Marr Chase,WR,2,26,364.6,17.0,21.44,14.6,312.4,124.7,4362628
Patrick Mahomes,QB,12,31,375.4,17.0,22.08,14.9,328.8,121.1,3139477
Jaxon Smith-Njigba,WR,3,24,355.3,17.0,20.9,14.6,304.5,116.8,4430878
Brock Purdy,QB,10,27,381.1,17.0,22.42,13.7,306.6,116.0,4361741
Trevor Lawrence,QB,13,27,367.1,17.0,21.6,14.9,321.5,114.0,4360310
Amon-Ra St. Brown,WR,4,27,350.0,17.0,20.59,14.6,300.0,112.3,4374302
Justin Herbert,QB,14,28,364.6,17.0,21.45,14.9,319.3,111.8,4038941
Jared Goff,QB,15,32,363.6,17.0,21.39,14.9,318.5,110.9,3046779
Caleb Williams,QB,16,25,362.4,17.0,21.32,14.9,317.4,109.8,4431611
Bo Nix,QB,8,26,382.6,17.0,22.51,12.6,284.6,107.9,4426338
De'Von Achane,RB,5,25,322.9,17.0,18.99,13.5,255.5,104.6,4429160
Jaxson Dart,QB,11,23,376.2,17.0,22.13,12.6,279.9,103.1,4689114
James Cook III,RB,6,27,309.8,17.0,18.22,13.5,245.1,94.2,4379399
Ashton Jeanty,RB,7,23,308.4,17.0,18.14,13.5,244.0,93.2,4890973
Omarion Hampton,RB,9,23,305.8,17.0,17.99,13.8,247.4,93.1,4685382
Derrick Henry,RB,8,32,306.8,17.0,18.05,13.5,242.7,91.9,3043078
Jayden Daniels,QB,5,26,402.8,17.0,23.69,9.1,214.9,88.6,4426348
Saquon Barkley,RB,11,29,302.3,17.0,17.78,13.5,239.2,88.3,3929630
Lamar Jackson,QB,3,29,409.7,17.0,24.1,8.6,206.2,87.3,3916387
Josh Jacobs,RB,12,28,300.8,17.0,17.7,13.5,238.0,87.2,4047365
Breece Hall,RB,13,25,300.2,17.0,17.66,13.5,237.5,86.7,4427366
CeeDee Lamb,WR,5,27,318.4,17.0,18.73,14.6,272.9,85.1,4241389
Chase Brown,RB,15,26,296.6,17.0,17.45,13.5,234.7,83.8,4362238
Kenneth Walker III,RB,14,26,300.1,17.0,17.65,12.8,225.9,82.0,4567048
Baker Mayfield,QB,17,31,346.0,17.0,20.35,12.6,257.4,80.6,3052587
Justin Jefferson,WR,6,27,318.5,17.0,18.73,13.8,258.8,80.5,4262921
Trey McBride,TE,1,27,258.5,17.0,15.21,14.1,214.6,78.1,4361307
Jordan Love,QB,18,28,341.6,17.0,20.1,12.6,254.1,77.5,4036378
Blake Cashman,LB,1,30,390.3,17.0,22.96,13.5,310.1,76.9,3728281
Jeremiyah Love,RB,10,21,304.3,17.0,17.9,11.4,203.4,75.9,4870808
Jordyn Brooks,LB,2,29,385.7,17.0,22.69,13.9,316.2,75.5,4043130
Javonte Williams,RB,16,26,284.8,17.0,16.75,13.5,225.3,74.4,4361579
Brock Bowers,TE,2,24,255.9,17.0,15.05,12.4,187.1,66.7,4432665
Sam Darnold,QB,22,29,319.2,17.0,18.77,12.6,237.4,60.7,3912547
C.J. Stroud,QB,23,25,318.2,17.0,18.72,12.6,236.7,60.1,4432577
Cam Skattebo,RB,18,24,264.9,17.0,15.58,13.8,214.4,59.9,4696981
Travis Etienne Jr.,RB,17,27,265.5,17.0,15.62,13.5,210.1,59.1,4239996
Drake London,WR,7,25,290.4,17.0,17.08,13.8,235.2,57.7,4426502
Rashee Rice,WR,8,26,289.9,17.0,17.05,13.8,234.7,57.3,4428331
Jeffery Simmons,DT,1,29,190.0,17.0,11.17,12.9,144.5,55.5,4035369
Tyler Shough,QB,19,27,338.3,17.0,19.9,8.6,170.3,51.2,4360689
