local,visita,plaza1,plaza2
Mexico,South Africa,1-0,2-0
South Korea,Czech Republic,1-1,1-0
Canada,Bosnia & Herzegovina,1-0,2-0
USA,Paraguay,1-0,2-1
Qatar,Switzerland,0-2,0-1
Brazil,Morocco,1-0,2-0
Haiti,Scotland,0-1,0-2
Australia,Turkey,0-1,0-2
Germany,Curaçao,3-0,4-0
Netherlands,Japan,1-0,2-1
Ivory Coast,Ecuador,0-1,0-0
Sweden,Tunisia,1-0,2-1
Spain,Cape Verde,3-0,2-0
Belgium,Egypt,1-0,2-0
Saudi Arabia,Uruguay,0-1,0-2
Iran,New Zealand,1-0,2-0
France,Senegal,1-0,2-0
Iraq,Norway,0-2,0-1
Argentina,Algeria,1-0,2-0
Austria,Jordan,2-0,1-0
Portugal,DR Congo,2-0,1-0
England,Croatia,1-0,2-0
Ghana,Panama,1-0,2-1
Uzbekistan,Colombia,0-1,0-2
Czech Republic,South Africa,1-0,2-1
Switzerland,Bosnia & Herzegovina,1-0,2-0
Canada,Qatar,1-0,2-0
Mexico,South Korea,1-0,2-0
USA,Australia,1-0,2-1
Scotland,Morocco,0-1,1-2
Brazil,Haiti,3-0,2-0
Turkey,Paraguay,1-0,2-1
Netherlands,Sweden,1-0,2-0
Germany,Ivory Coast,1-0,2-0
Ecuador,Curaçao,2-0,1-0
Tunisia,Japan,0-1,0-2
Spain,Saudi Arabia,2-0,3-0
Belgium,Iran,1-0,2-0
Uruguay,Cape Verde,1-0,2-0
New Zealand,Egypt,0-1,0-2
Argentina,Austria,1-0,2-0
France,Iraq,2-0,3-0
Norway,Senegal,1-0,2-1
Jordan,Algeria,0-1,0-2
Portugal,Uzbekistan,2-0,1-0
England,Ghana,2-0,1-0
Panama,Croatia,0-1,0-2
Colombia,DR Congo,1-0,2-0
Bosnia & Herzegovina,Qatar,1-0,2-0
Switzerland,Canada,1-0,2-1
Scotland,Brazil,0-1,0-2
Morocco,Haiti,2-0,1-0
Czech Republic,Mexico,0-1,1-2
South Africa,South Korea,0-1,1-2
Curaçao,Ivory Coast,0-2,0-1
Ecuador,Germany,0-1,1-2
Japan,Sweden,1-0,2-1
Tunisia,Netherlands,0-1,0-2
Paraguay,Australia,1-0,2-1
Turkey,USA,1-1,0-1
Norway,France,0-1,1-2
Senegal,Iraq,1-0,2-0
Cape Verde,Saudi Arabia,1-1,1-0
Uruguay,Spain,0-1,0-2
New Zealand,Belgium,0-2,0-1
Egypt,Iran,1-0,1-1
Croatia,Ghana,1-0,2-0
Panama,England,0-2,0-1
Colombia,Portugal,0-1,1-2
DR Congo,Uzbekistan,1-0,1-1
Algeria,Austria,0-1,1-2
Jordan,Argentina,0-2,0-1
