fecha,hora,local,visita,marcador,gl,gv,p_local,p_empate,p_visita,ev_pts,n_casas,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-06-11,14:00,México,Sudáfrica,2-1,2,1,0.679,0.211,0.11,3.32,56,2-1,2-1,2-1,2-1,2-1
2026-06-11,21:00,Corea del Sur,Czech Republic,1-1,1,1,0.357,0.305,0.338,3.19,55,1-1,1-1,1-1,1-1,1-1
2026-06-12,14:00,Canadá,Bosnia & Herzegovina,2-1,2,1,0.523,0.267,0.21,3.27,55,2-1,2-1,2-1,2-1,2-1
2026-06-12,20:00,USA,Paraguay,2-1,2,1,0.484,0.279,0.237,3.2,55,2-1,2-1,1-1,2-1,2-1
2026-06-13,14:00,Qatar,Suiza,1-2,1,2,0.072,0.147,0.781,3.39,55,1-2,1-2,1-3,1-3,1-2
2026-06-13,17:00,Brasil,Marruecos,2-1,2,1,0.577,0.25,0.173,3.35,55,2-1,2-1,2-1,2-1,2-1
2026-06-13,20:00,Haiti,Scotland,1-2,1,2,0.154,0.222,0.624,3.42,55,1-2,1-2,1-2,1-2,1-2
2026-06-13,23:00,Australia,Turkey,1-2,1,2,0.186,0.26,0.554,3.33,55,1-2,1-2,1-2,1-2,1-2
2026-06-14,12:00,Alemania,Curaçao,4-1,4,1,0.926,0.053,0.021,3.53,55,4-1,3-1,4-1,4-1,4-1
2026-06-14,15:00,Países Bajos,Japón,2-1,2,1,0.47,0.269,0.261,3.21,54,2-1,1-1,1-1,2-1,1-1
2026-06-14,18:00,Costa de Marfil,Ecuador,1-1,1,1,0.271,0.333,0.396,3.26,55,1-1,1-1,1-1,1-1,1-1
2026-06-14,21:00,Sweden,Tunisia,2-1,2,1,0.495,0.282,0.223,3.19,55,2-1,1-1,2-1,2-1,2-1
2026-06-15,11:00,España,Cape Verde,3-1,3,1,0.875,0.087,0.038,3.46,55,3-1,3-1,3-1,3-1,3-1
2026-06-15,14:00,Bélgica,Egipto,2-1,2,1,0.574,0.246,0.18,3.36,55,2-1,2-1,2-1,2-1,2-1
2026-06-15,17:00,Arabia Saudita,Uruguay,1-2,1,2,0.122,0.215,0.662,3.4,55,1-2,1-2,1-2,1-2,1-2
2026-06-15,20:00,Iran,New Zealand,2-1,2,1,0.505,0.279,0.216,3.21,53,2-1,1-1,2-1,2-1,2-1
2026-06-16,14:00,Francia,Senegal,2-1,2,1,0.647,0.218,0.135,3.41,54,2-1,2-1,2-1,2-1,2-1
2026-06-16,17:00,Iraq,Norway,1-2,1,2,0.068,0.141,0.791,3.39,54,1-2,1-2,1-2,1-3,1-2
2026-06-16,20:00,Argentina,Algeria,2-1,2,1,0.678,0.211,0.112,3.4,54,2-1,2-1,2-1,2-1,2-1
