fecha,hora,local,visita,marcador,gl,gv,p_local,p_empate,p_visita,ev_pts,n_casas,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-06-28,14:00,Sudáfrica,Canadá,1-2,1,2,0.169,0.269,0.562,5.17,57,1-2,1-2,1-2,1-2,1-2
2026-06-29,12:00,Brasil,Japón,2-1,2,1,0.563,0.256,0.181,5.2,57,2-1,2-1,2-1,2-1,2-1
2026-06-29,15:30,Alemania,Paraguay,2-1,2,1,0.705,0.188,0.107,5.42,56,2-1,2-1,2-1,3-1,3-1
2026-06-29,20:00,Países Bajos,Marruecos,1-1,1,1,0.445,0.299,0.255,4.84,56,1-1,1-1,1-1,1-1,1-1
2026-06-30,12:00,Costa de Marfil,Norway,1-2,1,2,0.264,0.267,0.469,4.94,57,1-2,1-1,1-1,1-2,1-2
2026-06-30,16:00,Francia,Sweden,2-1,2,1,0.749,0.171,0.08,5.41,56,2-1,2-1,2-1,2-1,2-1
2026-06-30,20:00,México,Ecuador,1-1,1,1,0.437,0.321,0.242,4.97,54,1-1,1-1,1-1,1-1,1-1
2026-07-01,11:00,Inglaterra,DR Congo,2-1,2,1,0.743,0.177,0.081,5.35,51,2-1,3-1,2-1,3-1,2-1
2026-07-01,15:00,Bélgica,Senegal,1-1,1,1,0.454,0.298,0.248,4.84,53,1-1,1-1,2-1,2-1,1-1
2026-07-01,19:00,USA,Bosnia & Herzegovina,2-1,2,1,0.704,0.191,0.105,5.41,56,2-1,2-1,2-1,2-1,2-1
2026-07-02,14:00,España,Austria,2-1,2,1,0.73,0.194,0.076,5.34,51,2-1,2-1,2-1,2-1,2-1
2026-07-02,18:00,Portugal,Croacia,2-1,2,1,0.505,0.288,0.207,5.01,50,2-1,1-1,1-1,2-1,1-1
2026-07-02,22:00,Suiza,Algeria,2-1,2,1,0.535,0.263,0.203,5.15,50,2-1,2-1,2-1,2-1,2-1
2026-07-03,13:00,Australia,Egipto,1-1,1,1,0.288,0.332,0.38,5.05,55,1-1,1-1,1-1,1-1,1-1
2026-07-03,17:00,Argentina,Cape Verde,3-1,3,1,0.831,0.131,0.038,5.28,53,3-1,3-1,3-1,3-1,2-1
2026-07-03,20:30,Colombia,Ghana,2-1,2,1,0.553,0.277,0.17,5.12,50,2-1,2-1,2-1,2-1,2-1
